teste,tipo,status,falhas,universo,pct_universo
source_unique_main_contraceptivos_CONTRACEPTIVO,unicidade,pass,0,197312203,0.0000%
source_unique_main_especialidade_DESCRICAO,unicidade,fail,7,70,10.0000%
source_unique_main_contraceptivos_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_relationships_main_internacoes_VINCPREV__VINCPREV__source_main_vincprev_,relacionamento,fail,197291930,197312203,99.9897%
source_unique_main_especialidade_ESPEC,unicidade,pass,0,70,0.0000%
source_unique_main_etnia_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_unique_main_etnia_ETNIA,unicidade,pass,0,197312203,0.0000%
source_unique_main_hospital_CNES,unicidade,pass,0,197312203,0.0000%
source_unique_main_instrucao_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_unique_main_instrucao_INSTRU,unicidade,pass,0,197312203,0.0000%
source_unique_main_marca_uti_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_unique_main_marca_uti_MARCA_UTI,unicidade,pass,0,197312203,0.0000%
source_unique_main_municipios_CO_MUNICIPIO_6D,unicidade,pass,0,197312203,0.0000%
source_unique_main_municipios_CO_MUNICIPIO_7D,unicidade,pass,0,197312203,0.0000%
source_unique_main_nacionalidade_DESCRICAO,unicidade,fail,1,332,0.3012%
source_unique_main_nacionalidade_NACIONAL,unicidade,pass,0,332,0.0000%
source_unique_main_procedimentos_NOME_PROC,unicidade,fail,153,5394,2.8365%
source_unique_main_procedimentos_PROC_REA,unicidade,pass,0,5394,0.0000%
source_unique_main_raca_cor_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_unique_main_raca_cor_RACA_COR,unicidade,pass,0,197312203,0.0000%
source_unique_main_sexo_DESCRICAO,unicidade,fail,1,3,33.3333%
source_unique_main_sexo_SEXO,unicidade,pass,0,3,0.0000%
source_unique_main_tempo_data,unicidade,pass,0,197312203,0.0000%
source_unique_main_vincprev_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_unique_main_vincprev_VINCPREV,unicidade,pass,0,197312203,0.0000%
source_unique_main_internacoes_N_AIH,unicidade,pass,0,197312203,0.0000%
source_unique_main_internacao_procedimento_id_atendimento,unicidade,pass,0,197312203,0.0000%
source_relationships_main_internacoes_N_AIH__N_AIH__source_main_internacao_procedimento_,relacionamento,pass,0,197312203,0.0000%
